Player,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,TT,Sck,FumF,FumR,Int,IntTD,FumTD,FFPts
Aaron Rodgers,GNB,QB,Chi,W 35-14,22.2/34.3,266.7,2.3,0.3,3.9,20.9,0.1,0.0,0.0,0.0,,,,,,,,,,0.3,,,21.6
Russell Wilson,SEA,QB,Ind,W 46-18,19.6/31,251.9,1.8,0.5,5.1,26.8,0.2,0.0,0.0,0.0,,,,,,,,,,0.5,,,19.6
Matt Ryan,ATL,QB,Buf,L 17-23,22.1/33.3,278.5,2.1,0.6,2.2,7.9,0.1,0.0,0.0,0.0,,,,,,,,,,0.6,,,19.4
Drew Brees,NOR,QB,@Mia,W 20-0,26.5/39.9,296.5,2.1,0.8,1.3,2.3,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,19.3
Tom Brady,NWE,QB,Car,L 30-33,24.8/37.8,297.3,2.0,0.6,2.3,2.1,0.1,0.0,0.0,0.0,,,,,,,,,,0.6,,,19.2
Tyrod Taylor,BUF,QB,@Atl,W 23-17,20.9/32.9,237.8,1.2,0.5,6.1,36.3,0.2,0.0,0.0,0.0,,,,,,,,,,0.5,,,18.3
Dak Prescott,DAL,QB,LAR,L 30-35,19.7/30.5,229.4,1.6,0.4,3.4,15.8,0.2,0.0,0.0,0.0,,,,,,,,,,0.4,,,17.5
Carson Palmer,ARI,QB,SF,W 18-15,21.9/35.7,279.0,1.7,0.9,1.2,2.5,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,16.4
Trevor Siemian,DEN,QB,Oak,W 16-10,21.7/35.5,260.6,1.7,0.9,2.3,8.1,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,16.4
Marcus Mariota,TEN,QB,@Hou,L 14-57,19.2/31.1,227.4,1.4,0.5,4.6,22.5,0.1,0.0,0.0,0.0,,,,,,,,,,0.5,,,16.2
Philip Rivers,LAC,QB,Phi,L 24-26,23.4/37.1,283.0,1.7,1.1,1.1,2.7,0.0,0.0,0.0,0.0,,,,,,,,,,1.1,,,16.2
Alex Smith,KAN,QB,Wsh,W 29-20,21.1/32.1,239.8,1.3,0.4,3.2,16.1,0.1,0.0,0.0,0.0,,,,,,,,,,0.4,,,16.1
Kirk Cousins,WAS,QB,@KC,L 20-29,25.6/39.2,292.3,1.4,0.8,1.9,4.3,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,16.0
Matthew Stafford,DET,QB,@Min,W 14-7,24.9/38.9,266.5,1.4,0.7,2.2,8.2,0.1,0.0,0.0,0.0,,,,,,,,,,0.7,,,15.9
Cam Newton,CAR,QB,@NE,W 33-30,21.7/37,268.7,1.2,1.1,3.9,17.9,0.1,0.0,0.0,0.0,,,,,,,,,,1.1,,,15.7
Jay Cutler,MIA,QB,NO,L 0-20,20.2/31.7,240.4,1.7,0.8,2.3,9.4,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,15.6
Andy Dalton,CIN,QB,@Cle,W 31-7,21.7/34.1,252.9,1.3,0.9,3.3,12.4,0.2,0.0,0.0,0.0,,,,,,,,,,0.9,,,15.4
Ben Roethlisberger,PIT,QB,@Bal,W 26-9,24.7/37.9,277.2,1.4,0.9,1.7,3.5,0.0,0.0,0.0,0.0,,,,,,,,,,0.9,,,15.4
Carson Wentz,PHI,QB,@LAC,W 26-24,24.2/39,280.2,1.2,0.9,3.0,11.2,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,15.3
Case Keenum,MIN,QB,Det,L 7-14,22.7/35.4,253.8,1.5,0.9,1.9,5.8,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,15.1
Eli Manning,NYG,QB,@TB,L 23-25,24.4/38.9,277.8,1.5,1.0,1.1,1.4,0.0,0.0,0.0,0.0,,,,,,,,,,1.0,,,15.1
Jameis Winston,TAM,QB,NYG,W 25-23,21.2/34.1,243.5,1.4,1.1,3.1,12.7,0.1,0.0,0.0,0.0,,,,,,,,,,1.1,,,14.9
Deshaun Watson,HOU,QB,Ten,W 57-14,19.1/32.4,222.6,1.3,1.0,4.7,22.7,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,14.7
Derek Carr,OAK,QB,@Den,L 10-16,22.7/36.5,228.8,1.5,0.6,2.3,6.1,0.0,0.0,0.0,0.0,,,,,,,,,,0.6,,,14.6
Blake Bortles,JAC,QB,@NYJ,L 20-23,18.5/30.9,212.8,1.2,0.8,3.6,20.8,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,14.4
Joe Flacco,BAL,QB,Pit,L 9-26,23.1/36.4,247.1,1.4,1.0,1.6,2.7,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,14.1
Jared Goff,LAR,QB,@Dal,W 35-30,20.8/34.4,245.6,1.4,0.9,1.6,4.7,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,13.8
DeShone Kizer,CLE,QB,Cin,L 7-31,18.9/32.1,210.6,1.0,1.2,5.3,25.3,0.2,0.0,0.0,0.0,,,,,,,,,,1.2,,,13.6
Mike Glennon,CHI,QB,@GB,L 14-35,22.9/36.5,245.3,1.3,0.9,2.0,5.6,0.0,0.0,0.0,0.0,,,,,,,,,,0.9,,,13.1
Brian Hoyer,SFO,QB,@Ari,L 15-18,22.6/36.4,254.9,1.1,0.8,1.6,2.0,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,13.1
Josh McCown,NYJ,QB,Jax,W 23-20,20.1/33.1,224.3,0.9,0.7,2.6,11.7,0.1,0.0,0.0,0.0,,,,,,,,,,0.7,,,12.0
Jacoby Brissett,IND,QB,@Sea,L 18-46,22.2/37.4,234.5,0.9,1.3,4.0,14.5,0.1,0.0,0.0,0.0,,,,,,,,,,1.3,,,11.7
Brett Hundley,GNB,QB,Chi,W 35-14,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.1
Drew Stanton,ARI,QB,SF,W 18-15,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.1
Matt Schaub,ATL,QB,Buf,L 17-23,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.1
Chase Daniel,NOR,QB,@Mia,W 20-0,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.1
