Slot,Player,Team,Pos,Owner,TeamID
QB,Marcus Mariota,TEN,QB,Scott,1
RB,Alvin Kamara,NOR,RB,Scott,1
RB,Jerick McKinnon,MIN,RB,Scott,1
WR,A.J. Green,CIN,WR,Scott,1
WR,JuJu Smith-Schuster,PIT,WR,Scott,1
TE,Jimmy Graham,SEA,TE,Scott,1
FLEX,Christian McCaffrey,CAR,RB,Scott,1
D/ST,Packers,GNB,DST,Scott,1
K,Greg Zuerlein,LAR,K,Scott,1
BENCH,Kirk Cousins,WAS,QB,Scott,1
BENCH,Will Fuller V,HOU,WR,Scott,1
BENCH,Devin Funchess,CAR,WR,Scott,1
BENCH,DeVante Parker,MIA,WR,Scott,1
BENCH,David Johnson,ARI,RB,Scott,1
BENCH,Kenyan Drake,MIA,RB,Scott,1
QB,Drew Brees,NOR,QB,Chase,2
RB,Jordan Howard,CHI,RB,Chase,2
RB,Jonathan Stewart,CAR,RB,Chase,2
WR,Demaryius Thomas,DEN,WR,Chase,2
WR,Sammy Watkins,LAR,WR,Chase,2
TE,Jordan Reed,WAS,TE,Chase,2
FLEX,Mohamed Sanu,ATL,WR,Chase,2
D/ST,Bengals,CIN,DST,Chase,2
K,Chris Boswell,PIT,K,Chase,2
BENCH,Justin Tucker,BAL,K,Chase,2
BENCH,Chiefs,KAN,DST,Chase,2
BENCH,Derek Carr,OAK,QB,Chase,2
BENCH,Carson Wentz,PHI,QB,Chase,2
BENCH,Brandin Cooks,NWE,WR,Chase,2
BENCH,Derrick Henry,TEN,RB,Chase,2
QB,Jared Goff,LAR,QB,Adam,3
RB,Melvin Gordon,LAC,RB,Adam,3
RB,Alfred Morris,DAL,RB,Adam,3
WR,Rishard Matthews,TEN,WR,Adam,3
WR,Robby Anderson,NYJ,WR,Adam,3
TE,Tyler Kroft,CIN,TE,Adam,3
FLEX,Carlos Hyde,SFO,RB,Adam,3
D/ST,Jaguars,JAC,DST,Adam,3
K,Wil Lutz,NOR,K,Adam,3
