Rk,Player,Pos,Team,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,FFPts
1,Cam Newton,QB,CAR,304.5/526.5,3790,28.1,13.1,125.2,680.2,5.7,0,0,0,335.5
2,Aaron Rodgers,QB,GNB,352.2/559,4213.8,32.4,7.4,51.2,238,1.5,0,0,0,310.5
3,Russell Wilson,QB,SEA,299.4/476.3,3732,29.7,10.2,95.6,494.7,2.6,0,0,0,306.8
4,Andrew Luck,QB,IND,362/624.8,4340.1,31.8,19.1,64.8,265.2,1.7,0,0,0,293.8
5,Drew Brees,QB,NOR,440.8/657.4,4775.5,31.3,15.5,21.7,35.1,0.9,0,0,0,291.2
6,Ben Roethlisberger,QB,PIT,378.1/573.1,4516.3,28.4,12.7,27.8,66.7,0.7,0,0,0,280.6
7,Carson Palmer,QB,ARI,345.9/568,4332.4,29.5,16.5,24.6,48.6,1,0,0,0,262.8
8,Tom Brady,QB,NWE,302.8/478,3380.1,25.3,7,27.4,21.6,1.5,0,0,0,231.4
9,Eli Manning,QB,NYG,380.2/607.8,4531.7,30.7,15.1,20.9,37.8,0.4,0,0,0,272.1
10,Blake Bortles,QB,JAC,325.8/574.8,3885.2,28.4,15.7,50.5,261.3,1.4,0,0,0,261.7
11,Philip Rivers,QB,SDG,404.3/616.3,4481,28.3,15,23,61.3,0.5,0,0,0,267.8
12,Tyrod Taylor,QB,BUF,274.9/452.2,3241,21.2,12.2,112,576.8,4.5,0,0,0,266.2
13,Kirk Cousins,QB,WAS,389.2/599.8,4539.8,29.5,13.2,38.1,117.6,1.4,0,0,0,282.4
14,Derek Carr,QB,OAK,349.2/584.2,3787.7,31,13.1,30.7,81.8,0.7,0,0,0,253.3
15,Marcus Mariota,QB,TEN,294.5/467.4,3403.6,19.7,12.7,70.3,355.6,2.7,0,0,0,229.8
16,Matthew Stafford,QB,DET,411.7/632.8,4643.9,25.1,13.5,39.6,136,1.9,0,0,0,279.7
17,Andy Dalton,QB,CIN,324.1/513.6,3803.2,25.5,12.9,62.9,232.9,2.7,0,0,0,264.1
18,Jameis Winston,QB,TAM,319.9/554.1,3822.8,25,15.5,60.2,263,2.6,0,0,0,258.7
19,Ryan Fitzpatrick,QB,NYJ,334.6/552.4,3882.9,25.7,15.5,56.8,249.3,2,0,0,0,258.9
20,Ryan Tannehill,QB,MIA,375/607.3,4257.4,23.7,12.4,34.4,130.8,1,0,0,0,251.2
21,Matt Ryan,QB,ATL,409.9/619.5,4503.5,22.1,16.4,30.8,95.4,0.8,0,0,0,241.9
22,Brock Osweiler,QB,HOU,342.3/553.9,4055.5,24.5,14.7,50.8,123.2,1.5,0,0,0,245.8
23,Joe Flacco,QB,BAL,375.3/625.3,4241.8,25.5,16.2,27.1,46.4,1.1,0,0,0,243.5
24,Jay Cutler,QB,CHI,318.6/496.7,3773.1,21.5,13.9,38.7,137.9,0.9,0,0,0,220.1
25,Robert Griffin,QB,CLE,309.6/493.8,3697.3,19.3,12.6,70.6,425.8,1.9,0,0,0,238.8
26,Alex Smith,QB,KAN,326.2/501.8,3664,19.4,7.5,69.3,398,2.5,0,0,0,259.7
27,Carson Wentz,QB,PHI,308.3/522.2,3511.4,19.7,14.2,68.2,359.2,2.7,0,0,0,235.5
28,Dak Prescott,QB,DAL,125.2/202.8,1475.7,9.9,5.7,26.4,133.3,0.9,0,0,0,103
29,Sam Bradford,QB,MIN,293.3/464.8,3249.6,17.2,10.8,30.8,79.9,1.3,0,0,0,184.4
