Rk,Player,Team,Pos,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,FFPts
1,Cam Newton,CAR,QB,304.7/526.5,3799.1,28.1,13,125.2,681.8,5.7,0,0,0,335.7
2,Aaron Rodgers,GNB,QB,352/559,4213.4,32.4,7.3,51.2,237.4,1.5,0,0,0,310.7
3,Russell Wilson,SEA,QB,299.5/476.3,3738.1,29.7,10.1,95.6,495.3,2.6,0,0,0,307
4,Andrew Luck,IND,QB,360.2/624.7,4363.6,31.8,19.1,64.8,263.6,1.7,0,0,0,294.9
5,Drew Brees,NOR,QB,440.4/657.4,4758.6,31.3,15.4,21.7,35.5,0.9,0,0,0,290.4
6,Ben Roethlisberger,PIT,QB,379.9/575.7,4540.6,28.5,12.7,28,67.5,0.7,0,0,0,282.1
7,Carson Palmer,ARI,QB,346.6/568.9,4344.1,29.5,16.4,24.6,49.1,1,0,0,0,263
8,Tom Brady,NWE,QB,303/477.9,3390.1,25.3,7,27.4,21.8,1.5,0,0,0,231.5
9,Eli Manning,NYG,QB,380.6/607.8,4542.5,30.7,15.1,20.9,37.6,0.4,0,0,0,272.2
10,Blake Bortles,JAC,QB,326.3/574.8,3905.5,28.4,15.7,50.5,260.7,1.4,0,0,0,262.8
11,Philip Rivers,SDG,QB,404.9/616.3,4504.2,28.3,14.9,23,61.6,0.5,0,0,0,269
12,Tyrod Taylor,BUF,QB,275.2/452.9,3240.8,21.3,12.1,112.1,578,4.5,0,0,0,266.4
13,Kirk Cousins,WAS,QB,388.3/599.7,4507.7,29.5,13.2,38.1,117.2,1.4,0,0,0,281.5
14,Derek Carr,OAK,QB,349.6/584.2,3807.4,31,13,30.7,82,0.7,0,0,0,254.5
15,Marcus Mariota,TEN,QB,304.6/468.2,3530.6,19.7,12.6,70.4,355.4,2.7,0,0,0,235
16,Matthew Stafford,DET,QB,411.8/632.8,4641.9,25.1,13.4,39.6,135.3,1.9,0,0,0,279.8
17,Andy Dalton,CIN,QB,323.6/513.5,3783.6,25.5,12.9,62.9,233.7,2.7,0,0,0,263.2
18,Jameis Winston,TAM,QB,320.1/554.1,3832,25,15.4,60.2,263,2.6,0,0,0,259.9
19,Ryan Fitzpatrick,NYJ,QB,337.8/554.8,3911.7,25.8,15.5,57.2,252.5,2,0,0,0,261.3
20,Ryan Tannehill,MIA,QB,374.8/607.3,4251,23.7,12.4,34.4,130.6,1,0,0,0,251.3
21,Matt Ryan,ATL,QB,409.7/619.5,4513.1,22.1,16.3,30.8,95.4,0.8,0,0,0,242
22,Brock Osweiler,HOU,QB,343.1/554.7,4075.6,24.5,14.7,50.8,123.3,1.5,0,0,0,247
23,Joe Flacco,BAL,QB,375.1/625.2,4213.8,25.5,16.2,27.1,46.9,1.2,0,0,0,242.8
24,Jay Cutler,CHI,QB,320/498.9,3788.7,21.6,13.9,38.7,138.2,0.9,0,0,0,221.3
25,Robert Griffin,CLE,QB,309.3/493.7,3682.8,19.3,12.5,70.6,426.7,1.9,0,0,0,238.8
