Player,Opp,Team,Pos,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,FFPts
Russell Wilson,Mia,SEA,QB,Sun 4:05,17.8/27.8,230.0,2.0,0.5,6.0,31.9,0.2,0.0,0.0,0.0,20.0
Aaron Rodgers,@Jax,GNB,QB,Sun 1:00,22.6/35.2,278.0,2.1,0.6,3.2,14.4,0.1,0.0,0.0,0.0,19.6
Eli Manning,@Dal,NYG,QB,Sun 4:25,25.3/39,306.0,2.0,0.8,1.3,2.3,0.0,0.0,0.0,0.0,18.3
Derek Carr,@NO,OAK,QB,Sun 1:00,23.9/37.5,282.9,2.2,0.7,1.9,6.0,0.0,0.0,0.0,0.0,18.1
Ben Roethlisberger,@Wsh,PIT,QB,Mon 7:10,26.1/39.5,305.8,1.8,0.9,1.9,4.7,0.0,0.0,0.0,0.0,17.9
Andrew Luck,Det,IND,QB,Sun 4:25,22.1/37.3,274.4,2.2,1.2,4.0,17.0,0.1,0.0,0.0,0.0,17.9
Matthew Stafford,@Ind,DET,QB,Sun 4:25,26.6/40.1,311.6,1.7,0.8,2.5,9.0,0.1,0.0,0.0,0.0,17.8
Drew Brees,Oak,NOR,QB,Sun 1:00,27.2/40.4,290.4,2.1,1.0,1.4,2.3,0.1,0.0,0.0,0.0,17.5
Kirk Cousins,Pit,WAS,QB,Mon 7:10,25/38.2,295.6,2.0,0.9,2.3,7.2,0.1,0.0,0.0,0.0,17.4
Cam Newton,@Den,CAR,QB,Thu 8:30,18.3/32.9,206.3,1.5,0.7,7.7,38.2,0.3,0.0,0.0,0.0,17.2
Tyrod Taylor,@Bal,BUF,QB,Sun 1:00,17.6/28.7,208.5,1.4,0.6,7.1,35.9,0.3,0.0,0.0,0.0,17.0
Carson Palmer,NE,ARI,QB,Sun 8:30,23.8/38.7,297.2,2.0,1.1,1.5,2.8,0.1,0.0,0.0,0.0,16.7
Alex Smith,SD,KAN,QB,Sun 1:00,20.4/30.8,240.4,1.3,0.3,4.3,26.4,0.2,0.0,0.0,0.0,16.6
Dak Prescott,NYG,DAL,QB,Sun 4:25,21.3/31.7,248.9,1.7,1.0,4.0,21.0,0.1,0.0,0.0,0.0,16.3
Carson Wentz,Cle,PHI,QB,Sun 1:00,19.6/33.1,238.4,1.4,0.8,4.5,25.3,0.2,0.0,0.0,0.0,16.1
Jimmy Garoppolo,@Ari,NWE,QB,Sun 8:30,23.3/38,256.7,1.7,1.0,3.8,14.5,0.1,0.0,0.0,0.0,16.0
Brock Osweiler,Chi,HOU,QB,Sun 1:00,21.5/33.9,262.7,1.7,0.8,3.2,7.8,0.1,0.0,0.0,0.0,15.4
Philip Rivers,@KC,SDG,QB,Sun 1:00,26.3/40.7,282.4,1.6,1.0,1.4,3.9,0.0,0.0,0.0,0.0,15.1
Matt Ryan,TB,ATL,QB,Sun 1:00,24.8/36.6,282.8,1.6,1.2,2.0,5.6,0.1,0.0,0.0,0.0,14.8
Andy Dalton,@NYJ,CIN,QB,Sun 1:00,20.2/32.3,228.7,1.4,0.9,3.9,12.9,0.1,0.0,0.0,0.0,14.6
Ryan Fitzpatrick,Cin,NYJ,QB,Sun 1:00,22/37.1,234.8,1.6,1.2,3.9,17.7,0.1,0.0,0.0,0.0,14.4
Jameis Winston,@Atl,TAM,QB,Sun 1:00,20.5/34.6,246.5,1.5,1.1,3.8,16.8,0.2,0.0,0.0,0.0,14.4
Blake Bortles,GB,JAC,QB,Sun 1:00,20.7/36.8,244.6,1.7,1.2,3.1,16.3,0.1,0.0,0.0,0.0,14.3
Robert Griffin,@Phi,CLE,QB,Sun 1:00,20.8/32.6,245.7,1.2,0.8,4.7,28.8,0.1,0.0,0.0,0.0,13.9
Marcus Mariota,Min,TEN,QB,Sun 1:00,19/29.5,216.1,1.2,0.7,4.4,22.7,0.2,0.0,0.0,0.0,13.6
Joe Flacco,Buf,BAL,QB,Sun 1:00,22.4/37.7,238.2,1.6,1.1,1.7,3.2,0.1,0.0,0.0,0.0,13.4
Blaine Gabbert,LA,SFO,QB,Mon 10:20,20.8/34.5,235.9,1.2,1.0,3.6,12.1,0.1,0.0,0.0,0.0,13.1
Shaun Hill,@Ten,MIN,QB,Sun 1:00,19.3/30.6,228.4,1.1,0.7,2.4,9.6,0.1,0.0,0.0,0.0,12.2
Jay Cutler,@Hou,CHI,QB,Sun 1:00,21.6/33.9,236.8,1.2,1.0,2.5,8.4,0.0,0.0,0.0,0.0,11.7
Ryan Tannehill,@Sea,MIA,QB,Sun 4:05,24.1/40,246.1,1.1,0.9,1.9,6.4,0.0,0.0,0.0,0.0,11.3
Case Keenum,@SF,LAR,QB,Mon 10:20,18.7/31.6,219.2,0.9,0.6,2.7,9.0,0.1,0.0,0.0,0.0,10.6
Trevor Siemian,Car,DEN,QB,Thu 8:30,19.3/35.7,203.1,1.2,1.6,2.3,8.8,0.1,0.0,0.0,0.0,9.7
Trevone Boykin,Mia,SEA,QB,Sun 4:05,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Tolzien,Det,IND,QB,Sun 4:25,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt McGloin,@NO,OAK,QB,Sun 1:00,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Daniel,Cle,PHI,QB,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Nassib,@Dal,NYG,QB,Sun 4:25,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Stanton,NE,ARI,QB,Sun 8:30,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brett Hundley,@Jax,GNB,QB,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EJ Manuel,@Bal,BUF,QB,Sun 1:00,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad Henne,GB,JAC,QB,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Webb,@Den,CAR,QB,Thu 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colt McCoy,Pit,WAS,QB,Mon 7:10,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Landry Jones,@Wsh,PIT,QB,Mon 7:10,0.1/0.2,1.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Mark Sanchez,NYG,DAL,QB,Sun 4:25,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke McCown,Oak,NOR,QB,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacoby Brissett,@Ari,NWE,QB,Sun 8:30,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Savage,Chi,HOU,QB,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Foles,SD,KAN,QB,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Orlovsky,@Ind,DET,QB,Sun 4:25,0.1/0.2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Anderson,@Den,CAR,QB,Thu 8:30,0.1/0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colin Kaepernick,LA,SFO,QB,Mon 10:20,0.1/0.2,1.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Ryan Mallett,Buf,BAL,QB,Sun 1:00,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Bradford,@Ten,MIN,QB,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Glennon,@Atl,TAM,QB,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ McCarron,@NYJ,CIN,QB,Sun 1:00,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geno Smith,Cin,NYJ,QB,Sun 1:00,0.1/0.2,1.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Matt Schaub,TB,ATL,QB,Sun 1:00,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh McCown,@Phi,CLE,QB,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Cassel,Min,TEN,QB,Sun 1:00,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paxton Lynch,Car,DEN,QB,Thu 8:30,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kellen Clemens,@KC,SDG,QB,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Mannion,@SF,LAR,QB,Mon 10:20,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Hoyer,@Hou,CHI,QB,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Moore,@Sea,MIA,QB,Sun 4:05,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Brady,@Ari,NWE,QB,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Vick,@Wsh,PIT,QB,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Romo*,NYG,DAL,QB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarvaris Jackson,Mia,SEA,QB,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Whitehurst,Det,IND,QB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Gradkowski*,@Wsh,PIT,QB,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Javon Johnson,@Dal,NYG,QB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Flynn,Oak,NOR,QB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Freeman,Det,IND,QB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Clausen,Buf,BAL,QB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Tebow,** BYE **,FA,QB,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Dan LeFevour,@Atl,TAM,QB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thaddeus Lewis*,LA,SFO,QB,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Ponder,LA,SFO,QB,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T.J. Yates,Chi,HOU,QB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerrod Johnson,NYG,DAL,QB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Weeden,Chi,HOU,QB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kellen Moore*,NYG,DAL,QB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Lindley,Det,IND,QB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
