Year,Week,Day,Date,Away,Home
2016,1,Thu,2016-09-08 20:30:00,CAR,DEN
2016,1,Sun,2016-09-11 13:00:00,TAM,ATL
2016,1,Sun,2016-09-11 13:00:00,CHI,HOU
2016,1,Sun,2016-09-11 13:00:00,GNB,JAC
2016,1,Sun,2016-09-11 13:00:00,SDG,KAN
2016,1,Sun,2016-09-11 13:00:00,OAK,NOR
2016,1,Sun,2016-09-11 13:00:00,CIN,NYJ
2016,1,Sun,2016-09-11 13:00:00,MIN,TEN
2016,1,Sun,2016-09-11 13:00:00,CLE,PHI
2016,1,Sun,2016-09-11 13:00:00,BUF,BAL
2016,1,Sun,2016-09-11 16:05:00,MIA,SEA
2016,1,Sun,2016-09-11 16:25:00,DET,IND
2016,1,Sun,2016-09-11 16:25:00,NYG,DAL
2016,1,Sun,2016-09-11 20:30:00,NWE,ARI
2016,1,Mon,2016-09-12 19:10:00,PIT,WAS
2016,1,Mon,2016-09-12 22:20:00,LAR,SFO
2016,2,Thu,2016-09-15 20:25:00,NYJ,BUF
2016,2,Sun,2016-09-18 13:00:00,SFO,CAR
2016,2,Sun,2016-09-18 13:00:00,BAL,CLE
2016,2,Sun,2016-09-18 13:00:00,TEN,DET
2016,2,Sun,2016-09-18 13:00:00,KAN,HOU
2016,2,Sun,2016-09-18 13:00:00,MIA,NWE
2016,2,Sun,2016-09-18 13:00:00,NOR,NYG
2016,2,Sun,2016-09-18 13:00:00,CIN,PIT
2016,2,Sun,2016-09-18 13:00:00,DAL,WAS
2016,2,Sun,2016-09-18 16:05:00,TAM,ARI
2016,2,Sun,2016-09-18 16:05:00,SEA,LAR
2016,2,Sun,2016-09-18 16:25:00,IND,DEN
2016,2,Sun,2016-09-18 16:25:00,ATL,OAK
2016,2,Sun,2016-09-18 16:25:00,JAC,SDG
2016,2,Sun,2016-09-18 20:30:00,GNB,MIN
2016,2,Mon,2016-09-19 20:30:00,PHI,CHI
2016,3,Thu,2016-09-22 20:25:00,HOU,NWE
2016,3,Sun,2016-09-25 13:00:00,ARI,BUF
2016,3,Sun,2016-09-25 13:00:00,MIN,CAR
2016,3,Sun,2016-09-25 13:00:00,DEN,CIN
2016,3,Sun,2016-09-25 13:00:00,DET,GNB
2016,3,Sun,2016-09-25 13:00:00,BAL,JAC
2016,3,Sun,2016-09-25 13:00:00,CLE,MIA
2016,3,Sun,2016-09-25 13:00:00,WAS,NYG
2016,3,Sun,2016-09-25 13:00:00,OAK,TEN
2016,3,Sun,2016-09-25 16:05:00,SFO,SEA
2016,3,Sun,2016-09-25 16:05:00,LAR,TAM
2016,3,Sun,2016-09-25 16:25:00,SDG,IND
2016,3,Sun,2016-09-25 16:25:00,NYJ,KAN
2016,3,Sun,2016-09-25 16:25:00,PIT,PHI
2016,3,Sun,2016-09-25 20:30:00,CHI,DAL
2016,3,Mon,2016-09-26 20:30:00,ATL,NOR
2016,4,Thu,2016-09-29 20:25:00,MIA,CIN
2016,4,Sun,2016-10-02 09:30:00,IND,JAC
2016,4,Sun,2016-10-02 13:00:00,CAR,ATL
2016,4,Sun,2016-10-02 13:00:00,DET,CHI
2016,4,Sun,2016-10-02 13:00:00,TEN,HOU
2016,4,Sun,2016-10-02 13:00:00,BUF,NWE
2016,4,Sun,2016-10-02 13:00:00,SEA,NYJ
2016,4,Sun,2016-10-02 13:00:00,OAK,BAL
2016,4,Sun,2016-10-02 13:00:00,CLE,WAS
2016,4,Sun,2016-10-02 16:05:00,DEN,TAM
2016,4,Sun,2016-10-02 16:25:00,LAR,ARI
2016,4,Sun,2016-10-02 16:25:00,NOR,SDG
2016,4,Sun,2016-10-02 16:25:00,DAL,SFO
2016,4,Sun,2016-10-02 20:30:00,KAN,PIT
2016,4,Mon,2016-10-03 20:30:00,NYG,MIN
2016,5,Thu,2016-10-06 20:25:00,ARI,SFO
2016,5,Sun,2016-10-09 13:00:00,NWE,CLE
2016,5,Sun,2016-10-09 13:00:00,CHI,IND
2016,5,Sun,2016-10-09 13:00:00,PHI,DET
2016,5,Sun,2016-10-09 13:00:00,TEN,MIA
2016,5,Sun,2016-10-09 13:00:00,HOU,MIN
2016,5,Sun,2016-10-09 13:00:00,NYJ,PIT
2016,5,Sun,2016-10-09 13:00:00,WAS,BAL
2016,5,Sun,2016-10-09 16:05:00,ATL,DEN
2016,5,Sun,2016-10-09 16:25:00,CIN,DAL
2016,5,Sun,2016-10-09 16:25:00,SDG,OAK
2016,5,Sun,2016-10-09 16:25:00,BUF,LAR
2016,5,Sun,2016-10-09 20:30:00,NYG,GNB
2016,5,Mon,2016-10-10 20:30:00,TAM,CAR
2016,6,Thu,2016-10-13 20:25:00,DEN,SDG
2016,6,Sun,2016-10-16 13:00:00,SFO,BUF
2016,6,Sun,2016-10-16 13:00:00,JAC,CHI
2016,6,Sun,2016-10-16 13:00:00,LAR,DET
2016,6,Sun,2016-10-16 13:00:00,PIT,MIA
2016,6,Sun,2016-10-16 13:00:00,CAR,NOR
2016,6,Sun,2016-10-16 13:00:00,CIN,NWE
2016,6,Sun,2016-10-16 13:00:00,BAL,NYG
2016,6,Sun,2016-10-16 13:00:00,CLE,TEN
2016,6,Sun,2016-10-16 13:00:00,PHI,WAS
2016,6,Sun,2016-10-16 16:05:00,KAN,OAK
2016,6,Sun,2016-10-16 16:25:00,DAL,GNB
2016,6,Sun,2016-10-16 16:25:00,ATL,SEA
2016,6,Sun,2016-10-16 20:30:00,IND,HOU
2016,6,Mon,2016-10-17 20:30:00,NYJ,ARI
2016,7,Thu,2016-10-20 20:25:00,CHI,GNB
2016,7,Sun,2016-10-23 09:30:00,NYG,LAR
2016,7,Sun,2016-10-23 13:00:00,CLE,CIN
2016,7,Sun,2016-10-23 13:00:00,WAS,DET
2016,7,Sun,2016-10-23 13:00:00,OAK,JAC
2016,7,Sun,2016-10-23 13:00:00,NOR,KAN
2016,7,Sun,2016-10-23 13:00:00,BUF,MIA
2016,7,Sun,2016-10-23 13:00:00,BAL,NYJ
2016,7,Sun,2016-10-23 13:00:00,IND,TEN
2016,7,Sun,2016-10-23 13:00:00,MIN,PHI
2016,7,Sun,2016-10-23 16:05:00,SDG,ATL
2016,7,Sun,2016-10-23 16:05:00,TAM,SFO
2016,7,Sun,2016-10-23 16:25:00,NWE,PIT
2016,7,Sun,2016-10-23 20:30:00,SEA,ARI
2016,7,Mon,2016-10-24 20:30:00,HOU,DEN
2016,8,Thu,2016-10-27 20:25:00,JAC,TEN
2016,8,Sun,2016-10-30 09:30:00,WAS,CIN
2016,8,Sun,2016-10-30 13:00:00,GNB,ATL
2016,8,Sun,2016-10-30 13:00:00,NWE,BUF
2016,8,Sun,2016-10-30 13:00:00,NYJ,CLE
2016,8,Sun,2016-10-30 13:00:00,KAN,IND
2016,8,Sun,2016-10-30 13:00:00,DET,HOU
2016,8,Sun,2016-10-30 13:00:00,SEA,NOR
2016,8,Sun,2016-10-30 13:00:00,OAK,TAM
2016,8,Sun,2016-10-30 16:05:00,SDG,DEN
2016,8,Sun,2016-10-30 16:25:00,ARI,CAR
2016,8,Sun,2016-10-30 20:30:00,PHI,DAL
2016,8,Mon,2016-10-31 20:30:00,MIN,CHI
2016,9,Thu,2016-11-03 20:25:00,ATL,TAM
2016,9,Sun,2016-11-06 13:00:00,DAL,CLE
2016,9,Sun,2016-11-06 13:00:00,JAC,KAN
2016,9,Sun,2016-11-06 13:00:00,NYJ,MIA
2016,9,Sun,2016-11-06 13:00:00,DET,MIN
2016,9,Sun,2016-11-06 13:00:00,PHI,NYG
2016,9,Sun,2016-11-06 13:00:00,PIT,BAL
2016,9,Sun,2016-11-06 16:05:00,CAR,LAR
2016,9,Sun,2016-11-06 16:05:00,NOR,SFO
2016,9,Sun,2016-11-06 16:25:00,IND,GNB
2016,9,Sun,2016-11-06 16:25:00,TEN,SDG
2016,9,Sun,2016-11-06 20:30:00,DEN,OAK
2016,9,Mon,2016-11-07 20:30:00,BUF,SEA
2016,10,Thu,2016-11-10 20:25:00,CLE,BAL
2016,10,Sun,2016-11-13 13:00:00,KAN,CAR
2016,10,Sun,2016-11-13 13:00:00,HOU,JAC
2016,10,Sun,2016-11-13 13:00:00,DEN,NOR
2016,10,Sun,2016-11-13 13:00:00,LAR,NYJ
2016,10,Sun,2016-11-13 13:00:00,GNB,TEN
2016,10,Sun,2016-11-13 13:00:00,ATL,PHI
2016,10,Sun,2016-11-13 13:00:00,CHI,TAM
2016,10,Sun,2016-11-13 13:00:00,MIN,WAS
2016,10,Sun,2016-11-13 16:05:00,MIA,SDG
2016,10,Sun,2016-11-13 16:25:00,SFO,ARI
2016,10,Sun,2016-11-13 16:25:00,DAL,PIT
2016,10,Sun,2016-11-13 20:30:00,SEA,NWE
2016,10,Mon,2016-11-14 20:30:00,CIN,NYG
2016,11,Thu,2016-11-17 20:25:00,NOR,CAR
2016,11,Sun,2016-11-20 13:00:00,BUF,CIN
2016,11,Sun,2016-11-20 13:00:00,PIT,CLE
2016,11,Sun,2016-11-20 13:00:00,TEN,IND
2016,11,Sun,2016-11-20 13:00:00,BAL,DAL
2016,11,Sun,2016-11-20 13:00:00,JAC,DET
2016,11,Sun,2016-11-20 13:00:00,TAM,KAN
2016,11,Sun,2016-11-20 13:00:00,ARI,MIN
2016,11,Sun,2016-11-20 13:00:00,CHI,NYG
2016,11,Sun,2016-11-20 16:05:00,MIA,LAR
2016,11,Sun,2016-11-20 16:25:00,PHI,SEA
2016,11,Sun,2016-11-20 16:25:00,NWE,SFO
2016,11,Sun,2016-11-20 20:30:00,GNB,WAS
2016,11,Mon,2016-11-21 20:30:00,HOU,OAK
2016,12,Thu,2016-11-24 12:30:00,MIN,DET
2016,12,Thu,2016-11-24 16:30:00,WAS,DAL
2016,12,Thu,2016-11-24 20:30:00,PIT,IND
2016,12,Sun,2016-11-27 13:00:00,ARI,ATL
2016,12,Sun,2016-11-27 13:00:00,JAC,BUF
2016,12,Sun,2016-11-27 13:00:00,TEN,CHI
2016,12,Sun,2016-11-27 13:00:00,NYG,CLE
2016,12,Sun,2016-11-27 13:00:00,SDG,HOU
2016,12,Sun,2016-11-27 13:00:00,SFO,MIA
2016,12,Sun,2016-11-27 13:00:00,LAR,NOR
2016,12,Sun,2016-11-27 13:00:00,CIN,BAL
2016,12,Sun,2016-11-27 16:05:00,SEA,TAM
2016,12,Sun,2016-11-27 16:25:00,KAN,DEN
2016,12,Sun,2016-11-27 16:25:00,CAR,OAK
2016,12,Sun,2016-11-27 20:30:00,NWE,NYJ
2016,12,Mon,2016-11-28 20:30:00,GNB,PHI
2016,13,Thu,2016-12-01 20:25:00,DAL,MIN
2016,13,Sun,2016-12-04 13:00:00,KAN,ATL
2016,13,Sun,2016-12-04 13:00:00,SFO,CHI
2016,13,Sun,2016-12-04 13:00:00,PHI,CIN
2016,13,Sun,2016-12-04 13:00:00,HOU,GNB
2016,13,Sun,2016-12-04 13:00:00,DEN,JAC
2016,13,Sun,2016-12-04 13:00:00,DET,NOR
2016,13,Sun,2016-12-04 13:00:00,LAR,NWE
2016,13,Sun,2016-12-04 13:00:00,MIA,BAL
2016,13,Sun,2016-12-04 16:05:00,BUF,OAK
