playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","119.5","241.7664","null","1.3","1","1","null","null","26.2197","1.5383","-0.5383","56.3375","255.7144","220.1","5.0795","null",
"2552475","null","Todd Gurley","RB","LA","RB","LA","101.6792","232.8179","null","4.9","2","1","null","null","15.5288","4.29","-2.29","49.725","253.2098","207.853","5.7987","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","93.7935","216.06","null","3.5","3","2","null","null","12.3376","4.7033","-1.7033","52.615","223.099","173.86","7.2508","null",
"2543496","null","Odell Beckham","WR","NYG","WR","NYG","92.767","215.0335","null","3","4","3","null","null","27.7124","3.4933","0.5067","53.765","228.8908","189.7","7.2326","null",
"2553435","null","David Johnson","RB","ARI","RB","ARI","90.2288","221.3675","null","5.8","5","2","null","null","11.0472","6.5667","-1.5667","45.865","237.3352","199.41","3.8256","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","82.0719","213.2107","null","8","6","3","null","null","8.2964","6.57","-0.57","47.3675","220.2522","201.1","3.4407","null",
"2533034","null","Lamar Miller","RB","HOU","RB","HOU","76.2912","207.4299","null","11","7","4","null","null","9.6744","12.575","-5.575","39.26","222.7601","194.1","3.8241","null",
"2555224","null","Ezekiel Elliott","RB","DAL","RB","DAL","71.2599","202.3986","null","9","8","5","null","null","10.3525","8.0783","-0.0783","47.4625","208.7907","186.2","4.8469","null",
"2540165","null","DeAndre Hopkins","WR","HOU","WR","HOU","70.1447","192.4112","null","9.2","9","4","null","null","10.3863","9.73","-0.73","45.0825","204.7646","164.3","7.109","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","68.3847","317.5073","null","34.2","10","1","null","null","12.8142","17.8183","-7.8183","31.3825","326.368","289.32","6.4144","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","64.5378","177.6962","null","10.9","11","1","null","null","38.9017","11.115","-0.115","44.3825","196.8489","156","5.3633","null",
"2540175","null","LeVeon Bell","RB","PIT","RB","PIT","61.9737","193.1125","null","null","12","6","null","null","2.9346","14.26","-2.26","40.7025","207.9019","169.2","8.9784","null",
"2543509","null","Allen Robinson","WR","JAC","WR","JAC","59.9645","182.2309","null","11.9","13","5","null","null","2.693","16.12","-3.12","37.93","199.3101","155.1","6.2078","null",
"2543583","null","Devonta Freeman","RB","ATL","RB","ATL","59.841","190.9798","null","20.1","14","7","null","null","3.9738","16.2883","-2.2883","34.2925","199.6409","178.23","6.4768","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","59.5524","181.8189","null","15.4","15","6","null","null","5.1138","16.2183","-1.2183","40.51","203.1287","164.7","8.4178","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","58.2373","189.376","null","21.8","16","8","null","null","6.2687","25.2867","-9.2867","26.805","204.2376","167.2","5.0635","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","57.5053","306.6279","null","35.5","17","2","null","null","15.572","22.255","-5.255","28.67","319.7719","285.92","3.9177","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","54.9905","177.257","null","20.9","18","7","null","null","2.9071","20.25","-2.25","32.795","190.2155","165.9","5.9474","null",
"2495450","null","A.J. Green","WR","CIN","WR","CIN","53.8867","176.1532","null","8.5","19","8","null","null","4.5043","11.2033","7.7967","43.6025","184.1413","143.36","5.552","null",
"2532975","null","Russell Wilson","QB","SEA","QB","SEA","53.6357","302.7584","null","44.3","20","3","null","null","28.6162","34.5633","-14.5633","20.115","321.9114","271.94","4.568","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","53.4972","184.636","null","20.8","21","9","null","null","3.1474","22.8433","-1.8433","29","192.8316","171.9","6.7883","null",
"2540168","null","Eddie Lacy","RB","GB","RB","GB","50.4399","181.5786","null","22","22","10","null","null","1.8641","20.3917","1.6083","29.59","192.1968","164.5691","6.497","null",
"2533039","null","Alshon Jeffery","WR","CHI","WR","CHI","50.2802","172.5466","null","21.6","23","9","null","null","2.6773","27.6367","-4.6367","29.8675","189.1835","152.9","8.2661","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","50.2598","181.3985","null","25.4","24","11","null","null","7.6471","21.9067","2.0933","31.1025","195.8012","154.442","6.1545","null",
"2543468","null","Mike Evans","WR","TB","WR","TB","48.4846","170.751","null","18.7","25","10","null","null","2.3075","24.6917","0.3083","29.73","174.4415","155.2","5.9908","null",
"2532899","null","Doug Martin","RB","TB","RB","TB","46.8918","178.0306","null","22.7","26","12","null","null","11.6132","23.7633","2.2367","29.575","185.0326","163.14","4.7621","null",
