Week,Away,Home,PtsAway,PtsHome,Winner
1,Team2,Team1,,,
1,Team3,Team4,,,
1,Team7,Team6,,,
1,Team5,Team8,,,
2,Team3,Team2,,,
2,Team1,Team4,,,
2,Team5,Team7,,,
2,Team6,Team8,,,
3,Team2,Team4,,,
3,Team1,Team3,,,
3,Team7,Team8,,,
3,Team6,Team5,,,
4,Team7,Team2,,,
4,Team6,Team1,,,
4,Team5,Team3,,,
4,Team8,Team4,,,
5,Team1,Team7,,,
5,Team3,Team6,,,
5,Team4,Team5,,,
5,Team2,Team8,,,
6,Team7,Team3,,,
6,Team6,Team4,,,
6,Team5,Team2,,,
6,Team8,Team1,,,
7,Team4,Team7,,,
7,Team2,Team6,,,
7,Team1,Team5,,,
7,Team3,Team8,,,
8,Team1,Team2,,,
8,Team4,Team3,,,
8,Team6,Team7,,,
8,Team8,Team5,,,
9,Team2,Team3,,,
9,Team4,Team1,,,
9,Team7,Team5,,,
9,Team8,Team6,,,
10,Team4,Team2,,,
10,Team3,Team1,,,
10,Team8,Team7,,,
10,Team5,Team6,,,
11,Team7,Team2,,,
11,Team6,Team1,,,
11,Team5,Team3,,,
11,Team8,Team4,,,
12,Team1,Team7,,,
12,Team3,Team6,,,
12,Team4,Team5,,,
12,Team2,Team8,,,
13,Team7,Team3,,,
13,Team6,Team4,,,
13,Team5,Team2,,,
13,Team8,Team1,,,
