Player,OwnCode,Team,Pos,Action,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,FFPts
Russell Wilson,FUNK,SEA,QB,,Mia,Sun 4:05,17.8/27.8,230.0,2.0,0.5,6.0,31.9,0.2,0.0,0.0,0.0,20.3
Aaron Rodgers,NOG,GNB,QB,,@Jax,Sun 1:00,22.6/35.2,278.0,2.1,0.6,3.2,14.4,0.1,0.0,0.0,0.0,20.0
Andrew Luck,LOS,IND,QB,,Det,Sun 4:25,22.1/37.3,274.4,2.2,1.2,4.0,17.0,0.1,0.0,0.0,0.0,19.4
Matthew Stafford,APE,DET,QB,,@Ind,Sun 4:25,26.6/40.1,311.6,1.7,0.8,2.5,9.0,0.1,0.0,0.0,0.0,19.1
Derek Carr,FA,OAK,QB,,@NO,Sun 1:00,23.9/37.5,282.9,2.2,0.7,1.9,6.0,0.0,0.0,0.0,0.0,18.9
Kirk Cousins,SCOT,WAS,QB,,Pit,Mon 7:10,25/38.2,295.6,2.0,0.9,2.3,7.2,0.1,0.0,0.0,0.0,18.9
Eli Manning,SLIV,NYG,QB,,@Dal,Sun 4:25,25.3/39,306.0,2.0,0.8,1.3,2.3,0.0,0.0,0.0,0.0,18.8
Ben Roethlisberger,LOS,PIT,QB,,@Wsh,Mon 7:10,26.1/39.5,305.8,1.8,0.9,1.9,4.7,0.0,0.0,0.0,0.0,18.6
Drew Brees,APE,NOR,QB,,Oak,Sun 1:00,27.2/40.4,290.4,2.1,1.0,1.4,2.3,0.1,0.0,0.0,0.0,18.3
Cam Newton,BKN,CAR,QB,,@Den,Thu 8:30,18.3/32.9,206.3,1.5,0.7,7.7,38.2,0.3,0.0,0.0,0.0,18.2
Alex Smith,FA,KAN,QB,,SD,Sun 1:00,20.4/30.8,240.4,1.3,0.3,4.3,26.4,0.2,0.0,0.0,0.0,17.8
Tyrod Taylor,BKN,BUF,QB,,@Bal,Sun 1:00,17.6/28.7,208.5,1.4,0.6,7.1,35.9,0.3,0.0,0.0,0.0,17.8
Carson Palmer,50%,ARI,QB,,NE,Sun 8:30,23.8/38.7,297.2,2.0,1.1,1.5,2.8,0.1,0.0,0.0,0.0,17.8
Dak Prescott,FA,DAL,QB,,NYG,Sun 4:25,21.3/31.7,248.9,1.7,1.0,4.0,21.0,0.1,0.0,0.0,0.0,17.2
Carson Wentz,FA,PHI,QB,,Cle,Sun 1:00,19.6/33.1,238.4,1.4,0.8,4.5,25.3,0.2,0.0,0.0,0.0,17.0
Jimmy Garoppolo,FA,NWE,QB,,@Ari,Sun 8:30,23.3/38,256.7,1.7,1.0,3.8,14.5,0.1,0.0,0.0,0.0,16.7
Brock Osweiler,FA,HOU,QB,,Chi,Sun 1:00,21.5/33.9,262.7,1.7,0.8,3.2,7.8,0.1,0.0,0.0,0.0,16.5
Jameis Winston,FA,TAM,QB,,@Atl,Sun 1:00,20.5/34.6,246.5,1.5,1.1,3.8,16.8,0.2,0.0,0.0,0.0,15.9
Philip Rivers,FUNK,SDG,QB,,@KC,Sun 1:00,26.3/40.7,282.4,1.6,1.0,1.4,3.9,0.0,0.0,0.0,0.0,15.7
Robert Griffin,FA,CLE,QB,,@Phi,Sun 1:00,20.8/32.6,245.7,1.2,0.8,4.7,28.8,0.1,0.0,0.0,0.0,15.6
Matt Ryan,FA,ATL,QB,,TB,Sun 1:00,24.8/36.6,282.8,1.6,1.2,2.0,5.6,0.1,0.0,0.0,0.0,15.6
Blake Bortles,SLIV,JAC,QB,,GB,Sun 1:00,20.7/36.8,244.6,1.7,1.2,3.1,16.3,0.1,0.0,0.0,0.0,15.6
Ryan Fitzpatrick,FA,NYJ,QB,,Cin,Sun 1:00,22/37.1,234.8,1.6,1.2,3.9,17.7,0.1,0.0,0.0,0.0,15.4
Andy Dalton,50%,CIN,QB,,@NYJ,Sun 1:00,20.2/32.3,228.7,1.4,0.9,3.9,12.9,0.1,0.0,0.0,0.0,14.9
Marcus Mariota,FA,TEN,QB,,Min,Sun 1:00,19/29.5,216.1,1.2,0.7,4.4,22.7,0.2,0.0,0.0,0.0,14.4
Joe Flacco,FA,BAL,QB,,Buf,Sun 1:00,22.4/37.7,238.2,1.6,1.1,1.7,3.2,0.1,0.0,0.0,0.0,14.1
Blaine Gabbert,FA,SFO,QB,,LA,Mon 10:20,20.8/34.5,235.9,1.2,1.0,3.6,12.1,0.1,0.0,0.0,0.0,13.7
Shaun Hill,FA,MIN,QB,,@Ten,Sun 1:00,19.3/30.6,228.4,1.1,0.7,2.4,9.6,0.1,0.0,0.0,0.0,13.2
Jay Cutler,FA,CHI,QB,,@Hou,Sun 1:00,21.6/33.9,236.8,1.2,1.0,2.5,8.4,0.0,0.0,0.0,0.0,13.0
Ryan Tannehill,FA,MIA,QB,,@Sea,Sun 4:05,24.1/40,246.1,1.1,0.9,1.9,6.4,0.0,0.0,0.0,0.0,12.7
Case Keenum,FA,LAR,QB,,@SF,Mon 10:20,18.7/31.6,219.2,0.9,0.6,2.7,9.0,0.1,0.0,0.0,0.0,12.1
Trevor Siemian,FA,DEN,QB,,Car,Thu 8:30,19.3/35.7,203.1,1.2,1.6,2.3,8.8,0.1,0.0,0.0,0.0,10.6
Scott Tolzien,FA,IND,QB,,Det,Sun 4:25,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevone Boykin,FA,SEA,QB,,Mia,Sun 4:05,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt McGloin,FA,OAK,QB,,@NO,Sun 1:00,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Daniel,FA,PHI,QB,,Cle,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Nassib,FA,NYG,QB,,@Dal,Sun 4:25,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Stanton,FA,ARI,QB,,NE,Sun 8:30,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EJ Manuel,FA,BUF,QB,,@Bal,Sun 1:00,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Landry Jones,FA,PIT,QB,,@Wsh,Mon 7:10,0.1/0.2,1.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Brett Hundley,FA,GNB,QB,,@Jax,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad Henne,FA,JAC,QB,,GB,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colt McCoy,FA,WAS,QB,,Pit,Mon 7:10,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
