Player,OwnCode,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,FFPts
Russell Wilson,FUNK,SEA,QB,Mia,W 12-10,17.8/27.8,230.0,2.0,0.5,6.0,31.9,0.2,0.0,0.0,0.0,20.3
Aaron Rodgers,NOG,GNB,QB,@Jax,W 27-23,22.6/35.2,277.9,2.1,0.6,3.2,14.4,0.1,0.0,0.0,0.0,20.0
Andrew Luck,LOS,IND,QB,Det,L 35-39,22.1/37.3,274.4,2.2,1.2,4.0,17.0,0.1,0.0,0.0,0.0,19.4
Matthew Stafford,APE,DET,QB,@Ind,W 39-35,26.6/40.1,311.7,1.7,0.8,2.5,9.0,0.1,0.0,0.0,0.0,19.2
Kirk Cousins,SCOT,WAS,QB,Pit,Mon 7:10,25/38.2,295.6,2.0,0.9,2.3,7.2,0.1,0.0,0.0,0.0,18.9
Derek Carr,WA (Wed),OAK,QB,@NO,W 35-34,23.9/37.6,283.2,2.2,0.8,1.9,6.0,0.0,0.0,0.0,0.0,18.8
Eli Manning,SLIV,NYG,QB,@Dal,W 20-19,25.3/39,306.0,2.0,0.8,1.3,2.3,0.0,0.0,0.0,0.0,18.8
Ben Roethlisberger,LOS,PIT,QB,@Wsh,Mon 7:10,26.2/39.5,305.3,1.8,0.9,1.9,4.7,0.0,0.0,0.0,0.0,18.6
Drew Brees,APE,NOR,QB,Oak,L 34-35,27.1/40.4,289.8,2.1,1.0,1.4,2.3,0.1,0.0,0.0,0.0,18.1
Cam Newton,BKN,CAR,QB,@Den,L 20-21,18.3/32.9,206.5,1.5,0.7,7.7,38.2,0.3,0.0,0.0,0.0,17.9
Alex Smith,WA (Wed),KAN,QB,SD,W 33-27,20.4/30.7,240.3,1.3,0.3,4.3,26.4,0.2,0.0,0.0,0.0,17.8
Carson Palmer,GARI,ARI,QB,NE,Sun 8:30,23.8/38.7,297.2,2.0,1.1,1.5,2.8,0.1,0.0,0.0,0.0,17.8
Tyrod Taylor,BKN,BUF,QB,@Bal,L 7-13,17.6/28.7,208.6,1.4,0.6,7.1,35.9,0.3,0.0,0.0,0.0,17.8
Dak Prescott,WA (Wed),DAL,QB,NYG,L 19-20,21.3/31.7,248.9,1.7,1.0,4.0,21.0,0.1,0.0,0.0,0.0,17.2
Carson Wentz,WA (Wed),PHI,QB,Cle,W 29-10,19.6/33.1,238.1,1.4,0.8,4.5,25.3,0.2,0.0,0.0,0.0,17.0
Brock Osweiler,WA (Wed),HOU,QB,Chi,W 23-14,21.5/33.8,262.2,1.7,0.8,3.2,7.8,0.1,0.0,0.0,0.0,16.6
Jimmy Garoppolo,FA,NWE,QB,@Ari,Sun 8:30,23.5/38,249.8,1.6,1.0,3.8,14.5,0.1,0.0,0.0,0.0,16.0
Jameis Winston,WA (Wed),TAM,QB,@Atl,W 31-24,20.5/34.6,245.5,1.5,1.1,3.8,16.8,0.2,0.0,0.0,0.0,15.9
Philip Rivers,FUNK,SDG,QB,@KC,L 27-33,26.3/40.7,282.4,1.6,1.0,1.4,3.9,0.0,0.0,0.0,0.0,15.7
Blake Bortles,SLIV,JAC,QB,GB,L 23-27,20.7/36.8,244.7,1.7,1.2,3.1,16.3,0.1,0.0,0.0,0.0,15.6
Robert Griffin,WA (Wed),CLE,QB,@Phi,L 10-29,20.8/32.6,245.7,1.2,0.8,4.7,28.8,0.1,0.0,0.0,0.0,15.6
Matt Ryan,WA (Wed),ATL,QB,TB,L 24-31,24.8/36.6,282.7,1.6,1.2,2.0,5.6,0.1,0.0,0.0,0.0,15.6
Ryan Fitzpatrick,WA (Wed),NYJ,QB,Cin,L 22-23,22.1/37.1,234.7,1.6,1.2,3.9,17.7,0.1,0.0,0.0,0.0,15.4
Andy Dalton,GARI,CIN,QB,@NYJ,W 23-22,20.3/32.5,229.9,1.4,1.0,3.9,12.9,0.1,0.0,0.0,0.0,14.8
