Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Tom Brady,FA,NWE,QB,Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Mike Vick,FA,PIT,QB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
Drew Brees,APE,NOR,QB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Josh McCown,FA,CLE,QB,Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Shaun Hill,FA,MIN,QB,GB,Sun 8:30,--/--,,,,,,,,,,,,,,
Carson Palmer,GARI,ARI,QB,TB,Sun 4:05,--/--,,,,,,,,,,,,,,
Tony Romo,FA,DAL,QB,@Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Eli Manning,SLIV,NYG,QB,NO,Sun 1:00,--/--,,,,,,,,,,,,,,
Philip Rivers,FUNK,SDG,QB,Jax,Sun 4:25,--/--,,,,,,,,,,,,,,
Ben Roethlisberger,LOS,PIT,QB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Schaub,FA,ATL,QB,@Oak,Sun 4:25,--/--,,,,,,,,,,,,,,
Luke McCown,FA,NOR,QB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Alex Smith,FA,KAN,QB,@Hou,Sun 1:00,--/--,,,,,,,,,,,,,,
Aaron Rodgers,NOG,GNB,QB,@Min,Sun 8:30,--/--,,,,,,,,,,,,,,
Dan Orlovsky,FA,DET,QB,Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Derek Anderson,FA,CAR,QB,SF,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Cassel,FA,TEN,QB,@Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Fitzpatrick,FA,NYJ,QB,@Buf,Thu 8:25,--/--,,,,,,,,,,,,,,
Jay Cutler,FA,CHI,QB,Phi,Mon 8:30,--/--,,,,,,,,,,,,,,
Kellen Clemens,FA,SDG,QB,Jax,Sun 4:25,--/--,,,,,,,,,,,,,,
Tarvaris Jackson,FA,SEA,QB,@LA,Sun 4:05,--/--,,,,,,,,,,,,,,
Charlie Whitehurst,FA,IND,QB,@Den,Sun 4:25,--/--,,,,,,,,,,,,,,
Bruce Gradkowski,FA,PIT,QB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
Drew Stanton,FA,ARI,QB,TB,Sun 4:05,--/--,,,,,,,,,,,,,,
Matt Moore,FA,MIA,QB,@NE,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Ryan,FA,ATL,QB,@Oak,Sun 4:25,--/--,,,,,,,,,,,,,,
Joe Flacco,FA,BAL,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Chad Henne,FA,JAC,QB,@SD,Sun 4:25,--/--,,,,,,,,,,,,,,
Josh Javon Johnson,FA,NYG,QB,NO,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Flynn,FA,NOR,QB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Chase Daniel,FA,PHI,QB,@Chi,Mon 8:30,--/--,,,,,,,,,,,,,,
Josh Freeman,FA,IND,QB,@Den,Sun 4:25,--/--,,,,,,,,,,,,,,
Brian Hoyer,FA,CHI,QB,Phi,Mon 8:30,--/--,,,,,,,,,,,,,,
Mark Sanchez,FA,DAL,QB,@Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Matthew Stafford,APE,DET,QB,Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Sam Bradford,FA,MIN,QB,GB,Sun 8:30,--/--,,,,,,,,,,,,,,
Jimmy Clausen,FA,BAL,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Colt McCoy,FA,WAS,QB,Dal,Sun 1:00,--/--,,,,,,,,,,,,,,
Tim Tebow,FA,FA,QB,** BYE **,,,,,,,,,,,,,,,,
Dan LeFevour,FA,TAM,QB,@Ari,Sun 4:05,--/--,,,,,,,,,,,,,,
