Player,Pos,Team,Owner,Slot,Acq
Andrew Luck,QB,IND,Matt,QB,Draft
Danny Woodhead,RB,SDG,Matt,RB,Draft
Justin Forsett,RB,BAL,Matt,RB,Free Agency
A.J. Green,WR,CIN,Matt,WR,Draft
T.Y. Hilton,WR,IND,Matt,WR,Draft
Zach Ertz,TE,PHI,Matt,TE,Draft
Jeremy Maclin,WR,KAN,Matt,FLEX,Draft
Packers,DST,GNB,Matt,D/ST,Draft
Steven Hauschka,K,SEA,Matt,K,Draft
Jamaal Charles,RB,KAN,Matt,Bench,Draft
Ben Roethlisberger,QB,PIT,Matt,Bench,Draft
Bengals,DST,CIN,Matt,Bench,Draft
DeSean Jackson,WR,WAS,Matt,Bench,Draft
Adam Vinatieri,K,IND,Matt,Bench,Draft
Julius Thomas,TE,JAC,Matt,Bench,Draft
Torrey Smith,WR,SFO,Matt,Bench,Draft
Matthew Stafford,QB,DET,Daniel,QB,Draft
Adrian Peterson,RB,MIN,Daniel,RB,Draft
Ameer Abdullah,RB,DET,Daniel,RB,Draft
Jordy Nelson,WR,GNB,Daniel,WR,Draft
Golden Tate,WR,DET,Daniel,WR,Draft
Antonio Gates,TE,SDG,Daniel,TE,Draft
Sammy Watkins,WR,BUF,Daniel,FLEX,Draft
Rams,DST,LAR,Daniel,D/ST,Draft
Matt Prater,K,DET,Daniel,K,Draft
Mike Evans,WR,TAM,Daniel,Bench,Draft
Thomas Rawls,RB,SEA,Daniel,Bench,Draft
Drew Brees,QB,NOR,Daniel,Bench,Draft
John Brown,WR,ARI,Daniel,Bench,Draft
T.J. Yeldon,RB,JAC,Daniel,Bench,Draft
Derrick Henry,RB,TEN,Daniel,Bench,Draft
Willie Snead,WR,NOR,Daniel,Bench,Draft
Cam Newton,QB,CAR,Samir,QB,Draft
Todd Gurley,RB,LAR,Samir,RB,Draft
Mark Ingram,RB,NOR,Samir,RB,Draft
Dez Bryant,WR,DAL,Samir,WR,Draft
Keenan Allen,WR,SDG,Samir,WR,Draft
Gary Barnidge,TE,CLE,Samir,TE,Draft
Donte Moncrief,WR,IND,Samir,FLEX,Draft
Vikings,DST,MIN,Samir,D/ST,Free Agency
Justin Tucker,K,BAL,Samir,K,Draft
Jeremy Hill,RB,CIN,Samir,Bench,Draft
Broncos,DST,DEN,Samir,Bench,Draft
Melvin Gordon,RB,SDG,Samir,Bench,Draft
Rashad Jennings,RB,NYG,Samir,Bench,Draft
Marvin Jones,WR,DET,Samir,Bench,Draft
Zach Miller,TE,CHI,Samir,Bench,Draft
Tyrod Taylor,QB,BUF,Samir,Bench,Draft
Russell Wilson,QB,SEA,Tyler,QB,Draft
Lamar Miller,RB,HOU,Tyler,RB,Draft
Matt Forte,RB,NYJ,Tyler,RB,Draft
DeAndre Hopkins,WR,HOU,Tyler,WR,Draft
Doug Baldwin,WR,SEA,Tyler,WR,Draft
Delanie Walker,TE,TEN,Tyler,TE,Draft
Emmanuel Sanders,WR,DEN,Tyler,FLEX,Draft
Panthers,DST,CAR,Tyler,D/ST,Draft
Mason Crosby,K,GNB,Tyler,K,Draft
Matt Jones,RB,WAS,Tyler,Bench,Draft
Philip Rivers,QB,SDG,Tyler,Bench,Draft
Jordan Matthews,WR,PHI,Tyler,Bench,Draft
Jets,DST,NYJ,Tyler,Bench,Draft
Dan Bailey,K,DAL,Tyler,Bench,Draft
Jimmy Graham,TE,SEA,Tyler,Bench,Draft
Jason Witten,TE,DAL,Tyler,Bench,Draft
Aaron Rodgers,QB,GNB,David,QB,Draft
Doug Martin,RB,TAM,David,RB,Draft
Jonathan Stewart,RB,CAR,David,RB,Draft
Antonio Brown,WR,PIT,David,WR,Draft
Larry Fitzgerald,WR,ARI,David,WR,Draft
Travis Kelce,TE,KAN,David,TE,Draft
Eric Decker,WR,NYJ,David,FLEX,Draft
Seahawks,DST,SEA,David,D/ST,Draft
Graham Gano,K,CAR,David,K,Draft
Demaryius Thomas,WR,DEN,David,Bench,Draft
Duke Johnson Jr.,RB,CLE,David,Bench,Draft
Arian Foster,RB,MIA,David,Bench,Draft
Tyler Lockett,WR,SEA,David,Bench,Draft
Tyler Eifert*,TE,CIN,David,Bench,Draft
Giovani Bernard,RB,CIN,David,Bench,Draft
Sterling Shepard,WR,NYG,David,Bench,Draft
Carson Palmer,QB,ARI,Adam,QB,Draft
David Johnson,RB,ARI,Adam,RB,Draft
DeAngelo Williams,RB,PIT,Adam,RB,Draft
Allen Robinson,WR,JAC,Adam,WR,Draft
Amari Cooper,WR,OAK,Adam,WR,Draft
Coby Fleener,TE,NOR,Adam,TE,Draft
Latavius Murray,RB,OAK,Adam,FLEX,Draft
Chiefs,DST,KAN,Adam,D/ST,Draft
Chandler Catanzaro,K,ARI,Adam,K,Draft
Alshon Jeffery,WR,CHI,Adam,Bench,Draft
Eddie Lacy,RB,GNB,Adam,Bench,Draft
Allen Hurns,WR,JAC,Adam,Bench,Draft
Chris Ivory,RB,JAC,Adam,Bench,Draft
Tajae Sharpe,WR,TEN,Adam,Bench,Draft
Andy Dalton,QB,CIN,Adam,Bench,Free Agency
Ravens,DST,BAL,Adam,Bench,Free Agency
Kirk Cousins,QB,WAS,Scott,QB,Draft
Ezekiel Elliott,RB,DAL,Scott,RB,Draft
Spencer Ware,RB,KAN,Scott,RB,Draft
Julio Jones,WR,ATL,Scott,WR,Draft
Brandon Marshall,WR,NYJ,Scott,WR,Draft
Greg Olsen,TE,CAR,Scott,TE,Draft
Brandin Cooks,WR,NOR,Scott,FLEX,Draft
Texans,DST,HOU,Scott,D/ST,Draft
Cairo Santos,K,KAN,Scott,K,Free Agency
