Week,Away,Home,PtsAway,PtsHome,Winner
1,Daniel,Matt,76.0,120.0,Matt
1,Samir,Tyler,83.4,91.7,Tyler
1,Scott,Adam,117.4,105.9,Scott
1,David,Petr,121.2,90.0,David
2,Samir,Daniel,106.4,73.0,Samir
2,Matt,Tyler,61.1,103.5,Tyler
2,David,Scott,85.8,120.8,Scott
2,Adam,Petr,105.9,85.0,Adam
3,Daniel,Tyler,115.3,97.3,Daniel
3,Matt,Samir,79.5,142.6,Samir
3,Scott,Petr,50.7,127.7,Petr
3,Adam,David,88.4,78.6,Adam
4,Scott,Daniel,132.6,80.7,Scott
4,Adam,Matt,56.8,93.8,Matt
4,David,Samir,127.8,108.7,David
4,Petr,Tyler,125.8,61.8,Petr
5,Matt,Scott,101.9,112.0,Scott
5,Samir,Adam,97.0,110.7,Adam
5,Tyler,David,55.6,101.3,David
5,Daniel,Petr,80.9,110.6,Petr
6,Scott,Samir,97.0,82.9,Scott
6,Adam,Tyler,106.9,64.8,Adam
6,David,Daniel,38.5,105.3,Daniel
6,Petr,Matt,127.5,64.1,Petr
7,Tyler,Scott,82.3,98.3,Scott
7,Daniel,Adam,66.0,90.9,Adam
7,Matt,David,101.6,79.7,Matt
7,Samir,Petr,128.8,81.7,Samir
8,Matt,Daniel,86.1,89.4,Daniel
8,Tyler,Samir,91.3,60.3,Tyler
8,Adam,Scott,70.9,97.9,Scott
8,Petr,David,123.9,97.1,Petr
9,Daniel,Samir,122.9,110.1,Daniel
9,Tyler,Matt,81.7,66.0,Tyler
9,Scott,David,109.4,89.4,Scott
9,Petr,Adam,118.7,104.5,Petr
10,Tyler,Daniel,112.1,92.4,Tyler
10,Samir,Matt,87.1,82.9,Samir
10,Petr,Scott,93.4,140.5,Scott
10,David,Adam,108.4,106.4,David
11,Scott,Daniel,,,
11,Adam,Matt,,,
11,David,Samir,,,
11,Petr,Tyler,,,
12,Matt,Scott,,,
12,Samir,Adam,,,
12,Tyler,David,,,
12,Daniel,Petr,,,
13,Scott,Samir,,,
13,Adam,Tyler,,,
13,David,Daniel,,,
13,Petr,Matt,,,
