Player,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,TT,Sck,FumF,FumR,Int,IntTD,FumTD,FFPts
Russell Wilson,SEA,QB,@Ari,W 22-16,22.6/35.4,274.9,2.0,0.9,5.3,26.5,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,19.7
Dak Prescott,DAL,QB,@Atl,L 7-27,20.7/32.4,234.7,1.8,0.4,3.4,17.6,0.2,0.0,0.0,0.0,,,,,,,,,,0.4,,,18.5
Ben Roethlisberger,PIT,QB,@Ind,W 20-17,22.9/35.4,290.0,1.9,0.8,1.7,3.4,0.0,0.0,0.0,0.0,,,,,,,,,,0.8,,,18.3
Tom Brady,NWE,QB,@Den,W 41-16,24.3/37.1,276.9,1.9,0.5,2.0,1.9,0.1,0.0,0.0,0.0,,,,,,,,,,0.5,,,18.0
Matthew Stafford,DET,QB,Cle,W 38-24,21.5/33.7,250.9,2.0,0.6,2.3,7.4,0.1,0.0,0.0,0.0,,,,,,,,,,0.6,,,17.7
Matt Ryan,ATL,QB,Dal,W 27-7,23.1/34.8,278.7,1.7,0.6,1.9,6.4,0.0,0.0,0.0,0.0,,,,,,,,,,0.6,,,17.5
Tyrod Taylor,BUF,QB,NO,L 10-47,18.8/29.4,202.1,1.3,0.3,6.0,36.1,0.2,0.0,0.0,0.0,,,,,,,,,,0.3,,,17.2
Cam Newton,CAR,QB,Mia,W 45-21,18.3/30.3,224.4,1.3,0.8,6.9,30.4,0.3,0.0,0.0,0.0,,,,,,,,,,0.8,,,16.6
Ryan Fitzpatrick,TAM,QB,NYJ,W 15-10,22.2/35.8,255.4,1.6,1.0,3.0,13.8,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,16.6
Eli Manning,NYG,QB,@SF,L 21-31,23.9/38.4,266.9,1.8,0.9,1.2,1.8,0.0,0.0,0.0,0.0,,,,,,,,,,0.9,,,15.8
Andy Dalton,CIN,QB,@Ten,L 20-24,22.7/35.6,247.5,1.6,0.8,3.0,10.8,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,15.8
