Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,DefTD,FumR,Sack,Sfty,Blk,PtsAlld,1_39,40_49,50plus,KTot,XP,FFPts
Tom Brady,WA (Wed),NWE,QB,Hou,W 36-33,25/35,378.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,35.6
Russell Wilson,LOS,SEA,QB,@Ten,L 27-33,29/49,373.0,4.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,33.4
Case Keenum,WA (Wed),MIN,QB,TB,W 34-17,25/33,369.0,3.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,28.4
Jacoby Brissett,WA (Wed),IND,QB,Cle,W 31-28,17/24,259.0,1.0,0.0,5.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,27.6
Blake Bortles,WA (Wed),JAC,QB,Bal,W 44-7,20/31,244.0,4.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,27.4
Kirk Cousins,SCOT,WAS,QB,Oak,W 27-10,25/30,365.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,26.8
Brian Hoyer,WA (Wed),SFO,QB,LAR,L 39-41,23/37,332.0,2.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,26.1
Aaron Rodgers,BLRT,GNB,QB,Cin,W 27-24,28/42,313.0,3.0,1.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,24.7
Jared Goff,WA (Wed),LAR,QB,@SF,W 41-39,22/28,292.0,3.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,23.5
Dak Prescott,LOS,DAL,QB,@Ari,W 28-17,13/18,183.0,2.0,0.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,22.8
Eli Manning,WA (Wed),NYG,QB,@Phi,L 24-27,35/47,366.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,22.6
DeShone Kizer,WA (Wed),CLE,QB,@Ind,L 28-31,22/47,242.0,2.0,3.0,7.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,22.0
Carson Palmer,WA (Wed),ARI,QB,Dal,L 17-28,29/48,325.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,21.7
Drew Brees,NOG,NOR,QB,@Car,W 34-13,22/29,220.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,20.8
Deshaun Watson,WA (Wed),HOU,QB,@NE,L 33-36,22/33,301.0,2.0,2.0,8.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,20.1
Marcus Mariota,GARI,TEN,QB,Sea,W 33-27,20/32,225.0,2.0,0.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,19.7
Tyrod Taylor,WA (Wed),BUF,QB,Den,W 26-16,20/26,213.0,2.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,17.7
Matthew Stafford,MM,DET,QB,Atl,L 26-30,25/45,264.0,1.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,16.3
Andy Dalton,WA (Wed),CIN,QB,@GB,L 24-27,21/27,212.0,2.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,16.2
Jameis Winston,BKN,TAM,QB,@Min,L 17-34,28/40,328.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,15.4
Alex Smith,WA (Wed),KAN,QB,@LAC,W 24-10,16/21,155.0,2.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,15.1
Josh McCown,WA (Wed),NYJ,QB,Mia,W 20-6,18/23,249.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,14.5
Matt Ryan,MM,ATL,QB,@Det,W 30-26,24/35,294.0,2.0,3.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,13.5
Carson Wentz,WA (Wed),PHI,QB,NYG,W 27-24,21/31,176.0,1.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,13.2
Ben Roethlisberger,SCOT,PIT,QB,@Chi,L 17-23,22/39,235.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,12.0
Jay Cutler,WA (Wed),MIA,QB,@NYJ,L 6-20,26/44,220.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11.7
Cam Newton,BKN,CAR,QB,NO,L 13-34,17/26,167.0,0.0,3.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,8.2
Trevor Siemian,WA (Wed),DEN,QB,@Buf,L 16-26,24/40,259.0,0.0,2.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,7.4
Mike Glennon,WA (Wed),CHI,QB,Pit,W 23-17,15/22,101.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,6.4
Ryan Mallett,WA (Wed),BAL,QB,@Jax,L 7-44,6/9,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,5.4
Derek Carr,DAN,OAK,QB,@Wsh,L 10-27,19/31,118.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,5.1
Philip Rivers,WA (Wed),LAC,QB,KC,L 10-24,20/40,237.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,3.4
Derek Anderson,WA (Wed),CAR,QB,NO,L 13-34,2/7,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.6
Mike Vick,WA (Wed),PIT,QB,@Chi,L 17-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Shaun Hill,WA (Wed),MIN,QB,TB,W 34-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Tony Romo,WA (Wed),DAL,QB,@Ari,W 28-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Matt Schaub,WA (Wed),ATL,QB,@Det,W 30-26,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Luke McCown,WA (Wed),DAL,QB,@Ari,W 28-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Dan Orlovsky,WA (Wed),LAR,QB,@SF,W 41-39,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
