Slot,Player,Team,Pos,Owner,TeamID
QB,Dak Prescott,DAL,QB,Matt,1
RB,Mark Ingram,NOR,RB,Matt,1
RB,Latavius Murray,MIN,RB,Matt,1
WR,Keenan Allen,LAC,WR,Matt,1
WR,Rishard Matthews,TEN,WR,Matt,1
TE,Rob Gronkowski,NWE,TE,Matt,1
FLEX,Doug Baldwin,SEA,WR,Matt,1
D/ST,Jaguars,JAC,DST,Matt,1
K,Jake Elliott,PHI,K,Matt,1
BENCH,Lamar Miller,HOU,RB,Matt,1
BENCH,Marshawn Lynch,OAK,RB,Matt,1
BENCH,Russell Wilson,SEA,QB,Matt,1
BENCH,Golden Tate,DET,WR,Matt,1
BENCH,Matt Bryant,ATL,K,Matt,1
BENCH,Rams,LAR,DST,Matt,1
QB,Drew Brees,NOR,QB,David,5
RB,Le'Veon Bell,PIT,RB,David,5
RB,DeMarco Murray,TEN,RB,David,5
WR,A.J. Green,CIN,WR,David,5
WR,Larry Fitzgerald,ARI,WR,David,5
TE,Cameron Brate,TAM,TE,David,5
FLEX,Stefon Diggs,MIN,WR,David,5
D/ST,Titans,TEN,DST,David,5
K,Wil Lutz,NOR,K,David,5
BENCH,Matt Prater,DET,K,David,5
BENCH,Matt Forte,NYJ,RB,David,5
BENCH,Jeremy Maclin,BAL,WR,David,5
BENCH,DeSean Jackson,TAM,WR,David,5
BENCH,Jonathan Stewart,CAR,RB,David,5
BENCH,Javorius Allen,BAL,RB,David,5
QB,Carson Palmer,ARI,QB,Daniel,2
RB,LeSean McCoy,BUF,RB,Daniel,2
RB,Jordan Howard,CHI,RB,Daniel,2
WR,Amari Cooper,OAK,WR,Daniel,2
WR,John Brown,ARI,WR,Daniel,2
TE,Austin Seferian-Jenkins,NYJ,TE,Daniel,2
FLEX,Carlos Hyde,SFO,RB,Daniel,2
D/ST,Broncos,DEN,DST,Daniel,2
K,Ryan Succop,TEN,K,Daniel,2
BENCH,Martavis Bryant,PIT,WR,Daniel,2
BENCH,Tevin Coleman,ATL,RB,Daniel,2
BENCH,Derek Carr,OAK,QB,Daniel,2
BENCH,Chris Thompson,WAS,RB,Daniel,2
BENCH,Deshaun Watson,HOU,QB,Daniel,2
BENCH,Jerick McKinnon,MIN,RB,Daniel,2
QB,Carson Wentz,PHI,QB,Adam,6
RB,Devonta Freeman,ATL,RB,Adam,6
RB,Melvin Gordon,LAC,RB,Adam,6
WR,Antonio Brown,PIT,WR,Adam,6
WR,Tyreek Hill,KAN,WR,Adam,6
TE,Delanie Walker,TEN,TE,Adam,6
FLEX,Michael Crabtree,OAK,WR,Adam,6
D/ST,Steelers,PIT,DST,Adam,6
K,Graham Gano,CAR,K,Adam,6
BENCH,Alshon Jeffery,PHI,WR,Adam,6
BENCH,Marcus Mariota,TEN,QB,Adam,6
BENCH,Ameer Abdullah,DET,RB,Adam,6
BENCH,Aaron Jones,GNB,RB,Adam,6
BENCH,Alfred Morris,DAL,RB,Adam,6
BENCH,Lions,DET,DST,Adam,6
QB,Cam Newton,CAR,QB,Samir,3
RB,Jay Ajayi,MIA,RB,Samir,3
RB,Ty Montgomery,GNB,RB,Samir,3
WR,Julio Jones,ATL,WR,Samir,3
WR,Dez Bryant,DAL,WR,Samir,3
TE,Kyle Rudolph,MIN,TE,Samir,3
FLEX,Jarvis Landry,MIA,WR,Samir,3
D/ST,Chiefs,KAN,DST,Samir,3
K,Adam Vinatieri,IND,K,Samir,3
BENCH,Isaiah Crowell,CLE,RB,Samir,3
BENCH,Jimmy Graham,SEA,TE,Samir,3
BENCH,Kelvin Benjamin,CAR,WR,Samir,3
BENCH,Bengals,CIN,DST,Samir,3
BENCH,Willie Snead,NOR,WR,Samir,3
BENCH,Jameis Winston,TAM,QB,Samir,3
QB,Alex Smith,KAN,QB,Petr,8
RB,Todd Gurley II,LAR,RB,Petr,8
RB,C.J. Anderson,DEN,RB,Petr,8
WR,Mike Evans,TAM,WR,Petr,8
WR,T.Y. Hilton,IND,WR,Petr,8
TE,Zach Ertz,PHI,TE,Petr,8
FLEX,Adrian Peterson,ARI,RB,Petr,8
D/ST,Bills,BUF,DST,Petr,8
K,Harrison Butker,KAN,K,Petr,8
BENCH,Aaron Rodgers,GNB,QB,Petr,8
BENCH,Sammy Watkins,LAR,WR,Petr,8
BENCH,Doug Martin,TAM,RB,Petr,8
BENCH,Jamaal Charles,DEN,RB,Petr,8
BENCH,Devin Funchess,CAR,WR,Petr,8
BENCH,Darren McFadden,DAL,RB,Petr,8
QB,Matt Ryan,ATL,QB,Meera,4
