Player,Team,Pos,Owner,Slot,Acq
Dak Prescott,DAL,QB,Matt,QB,Draft
Mark Ingram,NOR,RB,Matt,RB,Draft
Latavius Murray,MIN,RB,Matt,RB,Free Agency
Doug Baldwin,SEA,WR,Matt,WR,Draft
Keenan Allen,LAC,WR,Matt,WR,Draft
Rob Gronkowski,NWE,TE,Matt,TE,Draft
Lamar Miller,HOU,RB,Matt,FLEX,Draft
Jaguars,JAC,DST,Matt,D/ST,Draft
Jake Elliott,PHI,K,Matt,K,Free Agency
Danny Woodhead,BAL,RB,Matt,Bench,Draft
Marshawn Lynch,OAK,RB,Matt,Bench,Draft
Russell Wilson,SEA,QB,Matt,Bench,Draft
Golden Tate,DET,WR,Matt,Bench,Draft
Matt Bryant,ATL,K,Matt,Bench,Draft
Rams,LAR,DST,Matt,Bench,Draft
Rishard Matthews,TEN,WR,Matt,Bench,Free Agency
Deshaun Watson,HOU,QB,Daniel,QB,Free Agency
LeSean McCoy,BUF,RB,Daniel,RB,Draft
Jordan Howard,CHI,RB,Daniel,RB,Draft
Amari Cooper,OAK,WR,Daniel,WR,Draft
DeAndre Hopkins,HOU,WR,Daniel,WR,Draft
Austin Seferian-Jenkins,NYJ,TE,Daniel,TE,Free Agency
Carlos Hyde,SFO,RB,Daniel,FLEX,Draft
Broncos,DEN,DST,Daniel,D/ST,Draft
Ryan Succop,TEN,K,Daniel,K,Free Agency
Martavis Bryant,PIT,WR,Daniel,Bench,Draft
Tevin Coleman,ATL,RB,Daniel,Bench,Draft
Derek Carr,OAK,QB,Daniel,Bench,Draft
Chris Thompson,WAS,RB,Daniel,Bench,Free Agency
Jerick McKinnon,MIN,RB,Daniel,Bench,Free Agency
Carson Palmer,ARI,QB,Daniel,Bench,Free Agency
John Brown,ARI,WR,Daniel,Bench,Free Agency
Cam Newton,CAR,QB,Samir,QB,Draft
Jay Ajayi,MIA,RB,Samir,RB,Draft
Ty Montgomery,GNB,RB,Samir,RB,Draft
Julio Jones,ATL,WR,Samir,WR,Draft
Dez Bryant,DAL,WR,Samir,WR,Draft
Kyle Rudolph,MIN,TE,Samir,TE,Free Agency
Jarvis Landry,MIA,WR,Samir,FLEX,Draft
Chiefs,KAN,DST,Samir,D/ST,Draft
Adam Vinatieri,IND,K,Samir,K,Draft
Leonard Fournette,JAC,RB,Samir,Bench,Draft
Isaiah Crowell,CLE,RB,Samir,Bench,Draft
Jimmy Graham,SEA,TE,Samir,Bench,Draft
Kelvin Benjamin,CAR,WR,Samir,Bench,Draft
Bengals,CIN,DST,Samir,Bench,Draft
